context,gold,pred0,pred1,pred2,pred3,pred4
"What you say does n't count . you come after me and <anteced> I </anteced> 'll take you down . You come down , and I 'll take you down . If you have balls , you come on down . Come on down . Come down . Come down , come on , fight , fight , fight . I say",you,you,I,I,I,I
"What you say does n't count . you come after <anteced> me </anteced> and I 'll take you down . You come down , and I 'll take you down . If you have balls , you come on down . Come on down . Come down . Come down , come on , fight , fight , fight . I say you take a whack . Whack .",I,You,I,You,I,I
"What you say does n't count . you come after me and I 'll take you down . You come down , and I 'll take you down . If you have balls , you come on down . Come on down . Come down . Come down , come on , fight , fight , fight . I say <anteced> you </anteced> take a whack . Whack .",I,I,I,You,You,I
"What you say does n't count . you come after me and I 'll take you down . You come down , and I 'll take <anteced> you </anteced> down . If you have balls , you come on down . Come on down . Come down . Come down , come on , fight , fight , fight . I say you take a whack . Whack .",I,You,You,I,All those people who don't believe <anaphor>their,I
"What you say does n't count . you come after me and I 'll take you down . <anteced> You </anteced> come down , and I 'll take you down . If you have balls , you come on down . Come on down . Come down . Come down , come on , fight , fight , fight . I say you take a whack . Whack .",I,You,You,You,You,You
"What you say does n't count . you come after me and <anteced> I </anteced> 'll take you down . You come down , and I 'll take you down . If you have balls , you come on down . Come on down . Come down . Come down , come on , fight , fight , fight . I say you take a whack . Whack .",I,I,I,I,I,I
"Take a whack . Take a whack . Take a whack . Are n't you willing to be friends with us ? Yes , I am . He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by <anteced> Ye </anteced> , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously",him,Seoul,The Director,this,twenty year old ` Ye,the movie
"Are n't you willing to be friends with us ? Yes , I am . He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by <anteced> Ye </anteced> , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of",his,the boy,his,He,him,him
"Are n't you willing to be friends with us ? Yes , I am . He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously <anteced> him </anteced> as a boy , uh , a memory of",his,him,him,him,him,his
"He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by <anteced> Ye </anteced> , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is",you,he,I,her,you,he
"He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of <anteced> his </anteced> childhood life . Right . Right . Which child is",you,he,his,it,that,her
"He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously <anteced> him </anteced> as a boy , uh , a memory of his childhood life . Right . Right . Which child is",you,him,him,his,him,him
"He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by <anteced> Ye </anteced> , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child",you,Ye,me,You,we,Yamcha
"He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is <anteced> you </anteced> . Is this child",you,you,you,you,you,you
"He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of <anteced> his </anteced> childhood life . Right . Right . Which child is you . Is this child",you,me,Ye,he,he,you
"He says he 's willing . Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously <anteced> him </anteced> as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child",you,he,he,he,you,he
"Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by <anteced> Ye </anteced> , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child you , or is that child",you,you,Ye,your,Ye,Ye
"Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child <anteced> you </anteced> , or is that child",you,you,you,you,you,you
"Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is <anteced> you </anteced> . Is this child you , or is that child",you,you,you,you,you,you
"Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of <anteced> his </anteced> childhood life . Right . Right . Which child is you . Is this child you , or is that child",you,she,Lee Xu-hui,him,his,himself
"Did you hear ? He says he 's willing . Ok , that 's all right , let 's go play . This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously <anteced> him </anteced> as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child you , or is that child",you,me,the boy,himself,him,Yongsheng
"This is a movie directed by Ye , called There 's a Place Called Wangjiazhan . Wangjiazhuang , right . This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child you , or is that child you ? Actually we should be accurate ; <anteced> this child 's </anteced> experiences , So",this child,he,we,he,this child's,we
"This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child you , or is that child you ? Actually we should be accurate ; <anteced> this child 's </anteced> experiences , So this child , Um , right , right , right , because once , I My father was denounced , and then the rebels took us , took",that child,me,him,his,him,him
"This is obviously him as a boy , uh , a memory of his childhood life . Right . Right . Which child is you . Is this child you , or is that child you ? Actually we should be accurate ; this child 's experiences , So <anteced> this child </anteced> , Um , right , right , right , because once , I My father was denounced , and then the rebels took us , took",that child,him,him,him,me,him
"Right . Right . Which child is you . Is this child you , or is that child you ? Actually we should be accurate ; this child 's experiences , So this child , Um , right , right , right , because once , I <anteced> My father </anteced> was denounced , and then the rebels took us , took that child to see . Mm . They denounced",my father,him,him,my father,him,him
"Right . Right . Which child is you . Is this child you , or is that child you ? Actually we should be accurate ; this child 's experiences , So this child , Um , right , right , right , because once , I My father was denounced , and then the rebels took us , took that child to see . Mm . <anteced> They </anteced> denounced my father , so I was very indignant ,",They,they,They,they,they,they
"Is this child you , or is that child you ? Actually we should be accurate ; this child 's experiences , So this child , Um , right , right , right , because once , I <anteced> My father </anteced> was denounced , and then the rebels took us , took that child to see . Mm . They denounced my father , so I was very indignant , They let a lot of people expose",my father,him,my father,him,my father,him
"Is this child you , or is that child you ? Actually we should be accurate ; this child 's experiences , So this child , Um , right , right , right , because once , I My father was denounced , and then the rebels took us , took that child to see . Mm . They denounced <anteced> my father </anteced> , so I was very indignant , They let a lot of people expose",my father,him,him,him,him,him
"Mm . They denounced my father , so I was very indignant , They let a lot of people expose my father , Mm . Then the day after I took a kitchen knife and ran over to their home , that research institute , the doorway and vowed that I 'd hack the guy up . A kitchen knife ; a knife from <anteced> your kitchen </anteced> at home . Oh , right , right , a knife from",my kitchen,the kitchen,my kitchen,your kitchen,the kitchen,your kitchen
"But I had already said it . What did you say ? said I have to hack him , have to hack , so it was more or less like this child . But , <anteced> those adults standing around </anteced> reasoned with me , said look , you do n't understand this . If you do this , you 'll stir up more trouble , and then wo n't your dad be even worse off ? In fact when",they,they,you,the adults,those adults,they
"If you do this , you 'll stir up more trouble , and then wo n't your dad be even worse off ? In fact when they said that , my mind had already eased . I could not lose the face this way , , So then I ran over and took a whack at <anteced> the door </anteced> , to get an excuse for myself . Was",it,the door,the door,it,the door,it
"If you do this , you 'll stir up more trouble , and then wo n't your dad be even worse off ? In fact when they said that , my mind had already eased . I could not lose the face this way , , So then I ran over and took a whack at <anteced> the door </anteced> , to get an excuse for myself . Was it all ruined ?",The door,The door,It,The door,It,It
"If you do this , you 'll stir up more trouble , and then wo n't your dad be even worse off ? In fact when they said that , my mind had already eased . I could not lose the face this way , , So then I ran over and took a whack at the door , to get an excuse for myself . Was <anteced> it </anteced> all ruined ?",The door,It,It,It,It,That
"If you do this , you 'll stir up more trouble , and then wo n't your dad be even worse off ? In fact when they said that , my mind had already eased . I could not lose the face this way , , So then I ran over and took a whack at <anteced> the door </anteced> , to get an excuse for myself . Was it all ruined ? The door -- I slashed",it,it,it,it,it,it
"If you do this , you 'll stir up more trouble , and then wo n't your dad be even worse off ? In fact when they said that , my mind had already eased . I could not lose the face this way , , So then I ran over and took a whack at the door , to get an excuse for myself . Was it all ruined ? <anteced> The door </anteced> -- I slashed",it,it,it,it,it,it
"If you do this , you 'll stir up more trouble , and then wo n't your dad be even worse off ? In fact when they said that , my mind had already eased . I could not lose the face this way , , So then I ran over and took a whack at the door , to get an excuse for myself . Was <anteced> it </anteced> all ruined ? The door -- I slashed",it,it,it,it,it,it
"Was it all ruined ? The door -- I slashed it twice . Um , was n't there any consequence ? Mm , there was no consequence , , I just let the adults reason with me . Mm , and <anteced> this </anteced> is a memory from your childhood years .",It,That,It,It,It,It
"Was it all ruined ? The door -- I slashed it twice . Um , was n't there any consequence ? Mm , there was no consequence , , I just let the adults reason with me . Mm , and this is a memory from your childhood years . It , had a great influence on me . Including <anteced> that village , that environment </anteced> ,",it,that village,that village,it,it,it
"Mm , and this is a memory from your childhood years . It , had a great influence on me . Including that village , that environment , it 's all very familiar to you . More or less , very close to me , <anteced> this </anteced> is a novel of . Mm . Mm . , the reason I like",it,it,this,it,it,it
"Mm , and this is a memory from your childhood years . It , had a great influence on me . Including that village , that environment , it 's all very familiar to you . More or less , very close to me , <anteced> this </anteced> is a novel of . Mm . Mm . , the reason I like it is because , um ,",it,this piece of information,it,it,this'syour,it
"Mm , and this is a memory from your childhood years . It , had a great influence on me . Including that village , that environment , it 's all very familiar to you . More or less , very close to me , this is a novel of . Mm . Mm . , the reason I like <anteced> it </anteced> is because , um ,",it,it,it,it,it,it
"More or less , very close to me , this is a novel of . Mm . Mm . , the reason I like it is because , um , it brings up lots of that kind of childhood memories . Mm , you spent a large part of your childhood in Beijing . What year was it that you moved to Shanghai ? How old were you at <anteced> that time </anteced> ? , In",'69,the year <anaphor>you,that time,that year,your,that time
"Mm . Mm . , the reason I like it is because , um , it brings up lots of that kind of childhood memories . Mm , you spent a large part of your childhood in Beijing . What year was it that you moved to Shanghai ? How old were you at <anteced> that time </anteced> ? , In '69 I was 11 years old . Mm . Mm , well . In",'69,those years,the era,the time <anaphor>it,that year,the decade
"Mm . Mm . , the reason I like it is because , um , it brings up lots of that kind of childhood memories . Mm , you spent a large part of your childhood in Beijing . What year was it that you moved to Shanghai ? How old were you at that time ? , In <anteced> '69 </anteced> I was 11 years old . Mm . Mm , well . In",'69,that year,70,that same year,71,69
", the reason I like it is because , um , it brings up lots of that kind of childhood memories . Mm , you spent a large part of your childhood in <anteced> Beijing </anteced> . What year was it that you moved to Shanghai ? How old were you at that time ? , In '69 I was 11 years old . Mm . Mm , well . In '69 at the age of 11 you went from",Beijing,Beijing,Beijing,Beijing,Beijing,Beijing
"Mm , you spent a large part of your childhood in Beijing . What year was it that you moved to <anteced> Shanghai </anteced> ? How old were you at that time ? , In '69 I was 11 years old . Mm . Mm , well . In '69 at the age of 11 you went from Beijing to",Shanghai,Shanghai,Shanghai,Shanghai,Shanghai,Shanghai
"Mm , as he puts it , looking at it now , some of the memories can be very painful , but it was pretty happy days . I went there every day and then they suspended classes , , so I could n't go to school , could n't go to class . Mm . So , later I remember there was -- Mm . <anteced> A guy in the engineering team </anteced> , and",he,he,he,he,he,he
"I went there every day and then they suspended classes , , so I could n't go to school , could n't go to class . Mm . So , later I remember there was -- Mm . <anteced> A guy in the engineering team </anteced> , and he brought Quotations from Chairman Mao and said to me ,",He,I,I,I,I,I
"I went there every day and then they suspended classes , , so I could n't go to school , could n't go to class . Mm . So , later I remember there was -- Mm . A guy in the engineering team , and <anteced> he </anteced> brought Quotations from Chairman Mao and said to me ,",He,You,I,I,you,I
"I went there every day and then they suspended classes , , so I could n't go to school , could n't go to class . Mm . So , later I remember there was -- Mm . A guy in the engineering team , and he brought <anteced> Quotations from Chairman Mao </anteced> and said to me , He said , now take this , now take",these Quotations from Chairman Mao,this,it,"I, Chairman Mao",this <anaphor>this<|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|><|endoftext|,"this, this"
"I went there every day and then they suspended classes , , so I could n't go to school , could n't go to class . Mm . So , later I remember there was -- Mm . A guy in the engineering team , and he brought Quotations from <anteced> Chairman Mao </anteced> and said to me , He said , now take this , now take these Quotations from",Chairman Mao,Chairman Mao,Chairman Mao,Chairman Mao's,Chairman Mao,Chairman Mao's
"I went there every day and then they suspended classes , , so I could n't go to school , could n't go to class . Mm . So , later I remember there was -- Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take this , now take these Quotations from Chairman Mao and teach <anteced> yourselves </anteced> , and in the future",you,you,you,I,they,they
"Mm . So , later I remember there was -- Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take this , now take these Quotations from Chairman Mao and teach <anteced> yourselves </anteced> , and in the future you 'll take up arms and teach",yourselves,youself,them,yourselves,yourselves,yourselves
"Mm . So , later I remember there was -- Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take this , now take these Quotations from Chairman Mao and teach yourselves , and in the future <anteced> you </anteced> 'll take up arms and teach",yourselves,you,you,me,you,you
"Mm . So , later I remember there was -- Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take this , now take these Quotations from Chairman Mao and teach yourselves , and in the future you 'll take up arms and teach yourselves . <anteced> A lot of people </anteced> were very happy , very excited , because",they,they,they,they,they,they
"He was still struggling at the edge of preserving justice . When you got to Shanghai the environment changed ; did n't your whole person change ? After I got to Shanghai , , settling into , , that , <anteced> All that time , from '69 to '76 </anteced> , I graduated from senior middle school , it all took place there . Mm . At",that time,the time <anaphor>that,that time,all times,this point,that time
"He was still struggling at the edge of preserving justice . When you got to Shanghai the environment changed ; did n't your whole person change ? After I got to Shanghai , , settling into , , that , All that time , from '69 to '76 , I graduated from senior middle school , it all took place there . Mm . At that time in school , there were <anteced> some special children </anteced> , there was","a special class , the better students",someone,that,that,only one of <anaphor>them,this
"When you got to Shanghai the environment changed ; did n't your whole person change ? After I got to Shanghai , , settling into , , that , All that time , from '69 to '76 , I graduated from senior middle school , it all took place there . Mm . At that time in school , there were <anteced> some special children </anteced> , there was a special class , the better students , were you in",that class,them,them,them,these,these classes
"When you got to Shanghai the environment changed ; did n't your whole person change ? After I got to Shanghai , , settling into , , that , All that time , from '69 to '76 , I graduated from senior middle school , it all took place there . Mm . At that time in school , there were some special children , there was <anteced> a special class , the better students </anteced> , were you in",that class,it,those class,those days,the class,that class
"Mm . At that time in school , there were some special children , there was a special class , the better students , were you in that class ? Right , right , , see , like study classes to educate good kids . What kind of people were in your class ? Um . Anyhow , boys and girls who did not perform well , you could say <anteced> they </anteced> were little hooligans ,",they,they,they,they,they,they
"What kind of people were in <anteced> your class </anteced> ? Um . Anyhow , boys and girls who did not perform well , you could say they were little hooligans , they were all mixed in together in",that class,their class,their class,their class,their,their class
"What kind of people were in your class ? Um . Anyhow , boys and girls who did not perform well , you could say <anteced> they </anteced> were little hooligans , they were all mixed in together in that class , and there were also some who had problems at home . Mm .",All of them,they,They,They,They,They
"What kind of people were in your class ? Um . Anyhow , boys and girls who did not perform well , you could say they were little hooligans , <anteced> they </anteced> were all mixed in together in that class , and there were also some who had problems at home . Mm .",All of them,Their,They,They,Their,They
"Mm . All of them , and every day I went there , and the classes were suspended , , so they did n't let me go to school , did n't let me go to class . Mm . So , afterward , I remember there was Mm . <anteced> A guy in the engineering team </anteced> , and",he,his,he,he,he,he
"Mm . All of them , and every day I went there , and the classes were suspended , , so they did n't let me go to school , did n't let me go to class . Mm . So , afterward , I remember there was Mm . <anteced> A guy in the engineering team </anteced> , and he brought Quotations from Chairman Mao and said to me ,",He,I,I,I,I,This
"Mm . All of them , and every day I went there , and the classes were suspended , , so they did n't let me go to school , did n't let me go to class . Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and <anteced> he </anteced> brought Quotations from Chairman Mao and said to me ,",He,I,I,I,I,I
"Mm . All of them , and every day I went there , and the classes were suspended , , so they did n't let me go to school , did n't let me go to class . Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and he brought <anteced> Quotations from Chairman Mao </anteced> and said to me , He said , now take",this,my,me,me,my quotations,the conferences
"Mm . All of them , and every day I went there , and the classes were suspended , , so they did n't let me go to school , did n't let me go to class . Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and he brought <anteced> Quotations from Chairman Mao </anteced> and said to me , He said , now take this , now take",these Quotations from Chairman Mao,that,this,this <anaphor>I,these,his
"Mm . All of them , and every day I went there , and the classes were suspended , , so they did n't let me go to school , did n't let me go to class . Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take <anteced> this </anteced> , now take",these Quotations from Chairman Mao,it,this,it,it,this
"All of them , and every day I went there , and the classes were suspended , , so they did n't let me go to school , did n't let me go to class . Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and he brought Quotations from <anteced> Chairman Mao </anteced> and said to me , He said , now take this , now take these Quotations from",Chairman Mao,Chairman Mao,Chairman Mao,Chairman Mao,Chairman Mao,Chairman Mao
"Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take this , now take these Quotations from Chairman Mao and teach <anteced> yourselves </anteced> , and in the future",you,you,youself,you,they,you
"Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take this , now take these Quotations from Chairman Mao and teach <anteced> yourselves </anteced> , and in the future you 'll take up arms and teach",yourselves,yourself,yourselves,them,yourself,yourselves
"Mm . So , afterward , I remember there was Mm . A guy in the engineering team , and he brought Quotations from Chairman Mao and said to me , He said , now take this , now take these Quotations from Chairman Mao and teach yourselves , and in the future <anteced> you </anteced> 'll take up arms and teach",yourselves,me,yourselves,yourself,me,us
"So I was with this group of kids all together , and everybody copied everybody else and it was even harder to study . In fact it was n't that we did n't study , I think it was , This class really helped me a lot , , sometimes in my life I think about this , Mm . That period was both a happy and a fun time . Because I <anteced> was </anteced> a good egg . In",this,my,that class,my,my,my
At that time he encountered the first love of <anteced> his life </anteced> that still remains fresh in his memory . This girl became the only light in,Ye Daying 's dark life,his body,his life,his life,his life,his life
"At that time he encountered the first love of his life that still remains fresh in his memory . This girl became the only light in Ye Daying 's dark life for several years . In those days if <anteced> a middle school student </anteced> liked a fellow - student , how did",he,he,she,she,she,he
"At that time he encountered the first love of his life that still remains fresh in his memory . This girl became the only light in Ye Daying 's dark life for several years . In those days if a middle school student <anteced> liked </anteced> a fellow - student , how did he go about expressing",that,his,it,his,himself,his
"<anteced> This girl </anteced> became the only light in Ye Daying 's dark life for several years . In those days if a middle school student liked a fellow - student , how did he go about expressing that ? Um . When I was a school kid , for example , Um , that girl , who ran the kitchen and was one of the better students in our class , I liked",her,her,her,her,her,her
"Mm . I always felt , um , she can , give you more on your plate , put more things on your plate for you to eat . And then the most obvious way was um , to go see a movie together . Mm . It was , So already you could -- <anteced> Go </anteced> see a movie ; I thought ,",That,I,I,I,I,That
"Mm . I always felt , um , she can , give you more on your plate , put more things on your plate for you to eat . And then the most obvious way was um , to go see a movie together . Mm . It was , So already you could -- <anteced> Go </anteced> see a movie ; I thought , That was it ,",that,I,I,I,go,go
"Mm . I always felt , um , she can , give you more on your plate , put more things on your plate for you to eat . And then the most obvious way was um , to go see a movie together . Mm . It was , So already you could -- Go see a movie ; I thought , <anteced> That </anteced> was it ,",that,It,it,that,it,It
"It was , So already you could -- Go see a movie ; I thought , That was it , that was it . You just want to go see the movie , you do n't worry about holding hands or not , um , and that was great , -- So you went to the movies with this girl ? Yes . Do you still remember what movies you <anteced> saw </anteced> ? The Flower Girl . I still remember",that,it,it,it,it,it
"You just want to go see the movie , you do n't worry about holding hands or not , um , and that was great , -- So you went to the movies with this girl ? Yes . Do you still remember what movies you saw ? <anteced> The Flower Girl . </anteced> I still remember that now . Mm . She cried as hard as she could . So seeing",The Flower Girl,the film,that,this girl,the movie,that little girl
"Do you still remember what movies you saw ? <anteced> The Flower Girl . </anteced> I still remember that now . Mm . She cried as hard as she could . So seeing The Flower Girl was the equivalent of seeing Titanic now . Oh , yes , yes , a bit , a bit , yes , all was ready , no cry . Yes , crying her eyes out , a big film like",that,the Flower Girl,The Flower Girl,She,The Flower Girl,The Flower Girl
"Do you still remember what movies you saw ? The Flower Girl . I still remember that now . Mm . She cried as hard as she could . So seeing <anteced> The Flower Girl </anteced> was the equivalent of seeing Titanic now . Oh , yes , yes , a bit , a bit , yes , all was ready , no cry . Yes , crying her eyes out , a big film like",that,the film,That's <anaphor>it,her,the Flower Girl,The Flower Girl
", so , when we were in class , for example you , I remember how it happened , yes . Um . When we went to class , in the classroom , it was all very chaotic . Mm . Mm . So then , we 'd each pick up <anteced> a piece of chalk </anteced> and toss",the chalk,it,it,it,it,it
", so , when we were in class , for example you , I remember how it happened , yes . Um . When we went to class , in the classroom , it was all very chaotic . Mm . Mm . So then , we 'd each pick up a piece of chalk and toss the chalk back and forth . And throw spitballs . I threw <anteced> it </anteced> at someone else but missed , and",it,it,it,it,it,it
"And throw spitballs . I threw it at someone else but missed , and it hit her . The result was that she turned her head to look . And she looked at you angrily . I thought , uh-oh , the expression in her eyes was like she would forgive you , <anteced> that kind of feeling </anteced> . I thought wow , it 's so wonderful ,",that kind of feeling,it,it,it,that kind of feeling,that kind of feeling
"The result was that she turned her head to look . And she looked at you angrily . I thought , uh-oh , the expression in her eyes was like she would forgive you , that kind of feeling . I thought wow , it 's so wonderful , that kind of feeling . Mm . That 's how <anteced> it </anteced> was , I should say .",It,That,That,It,It,That
"Mm . That 's how it was , I should say . It was like that ? Mm . Many years later , afterward , we graduated from senior middle school , and I was still going to see her . Mm . The -- , so we all took the exams for college , and things changed , right . You graduated from middle school in '73 . <anteced> '74 . </anteced> Mm . Graduated from midle school in",'74,85.,Pamille's,72.,75. <anaphor>He,74.
"You graduated from middle school in '73 . '74 . Mm . Graduated from midle school in '74 . Mm , that female schoolmate went to the Shanghai suburbs to live and work . Right , right , yes . Ye Daying went to work in <anteced> a factory </anteced> ; at that time your monthly wages were , forty - some yuan ? Mm , when I started",it,the factory,the factory,the factory,the factory,the factory
"You graduated from middle school in '73 . '74 . Mm . Graduated from midle school in '74 . Mm , that female schoolmate went to the Shanghai suburbs to live and work . Right , right , yes . Ye Daying went to work in a factory ; at that time <anteced> your monthly wages </anteced> were , forty - some yuan ? Mm , when I started it was a technical school . Then at first",it,you,you,the wages,you,my
"Graduated from midle school in '74 . Mm , that female schoolmate went to the Shanghai suburbs to live and work . Right , right , yes . Ye Daying went to work in a factory ; at that time <anteced> your monthly wages </anteced> were , forty - some yuan ? Mm , when I started it was a technical school . Then at first it was 13 yuan , the first year 13 yuan ; the second year",it,the wages,it,it,the wages,that
"Graduated from midle school in '74 . Mm , that female schoolmate went to the Shanghai suburbs to live and work . Right , right , yes . Ye Daying went to work in a factory ; at that time your monthly wages were , forty - some yuan ? Mm , when I started it was a technical school . Then at first <anteced> it </anteced> was 13 yuan , the first year 13 yuan ; the second year",it,it,it,it,it,it
"Right , right , yes . Ye Daying went to work in a factory ; at that time <anteced> your monthly wages </anteced> were , forty - some yuan ? Mm , when I started it was a technical school . Then at first it was 13 yuan , the first year 13 yuan ; the second year it was 15 yuan , and the third year",it,your,the workers,they,your,it
"Right , right , yes . Ye Daying went to work in a factory ; at that time your monthly wages were , forty - some yuan ? Mm , when I started it was a technical school . Then at first it was 13 yuan , the first year 13 yuan ; the second year <anteced> it </anteced> was 15 yuan , and the third year",it,it,it,it,it,it
"Right , right , yes . Ye Daying went to work in a factory ; at that time your monthly wages were , forty - some yuan ? Mm , when I started it was a technical school . Then at first <anteced> it </anteced> was 13 yuan , the first year 13 yuan ; the second year it was 15 yuan , and the third year",it,it,it,it,it,it
"Ye Daying went to work in a factory ; at that time your monthly wages were , forty - some yuan ? Mm , when I started it was a technical school . Then at first it was 13 yuan , the first year 13 yuan ; the second year it was 15 yuan , and the third year it was 41 yuan . Mm . Mm . <anteced> 41 yuan </anteced> , at the time , for him ,",it,that,it,that,that,that
"Then at first it was 13 yuan , the first year 13 yuan ; the second year it was 15 yuan , and the third year it was 41 yuan . Mm . Mm . <anteced> 41 yuan </anteced> , at the time , for him , it was , an astronomical sum , um , a lot of money .",It,It,It,That number,That,He
"Then at first it was 13 yuan , the first year 13 yuan ; the second year it was 15 yuan , and the third year it was 41 yuan . Mm . Mm . 41 yuan , at the time , for him , <anteced> it </anteced> was , an astronomical sum , um , a lot of money .",It,It,It,It,It,It
"The first was that <anteced> his father , Ye Zhengming </anteced> , was released and reunited with",his,his,his,his,his father,"his wife, a woman he had lost all his seven childre"
"The first was that <anteced> his father , Ye Zhengming </anteced> , was released and reunited with his family that",he,he,he,he,he,he
"The first was that his father , Ye Zhengming , was released and reunited with <anteced> his </anteced> family that",he,he,his,he,he,he
"The first was that <anteced> his </anteced> father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that",Ye Daying,his,he,he,he,he
"The first was that <anteced> his </anteced> father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had",his,he,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that <anteced> Ye Daying </anteced> had",his,his,his,a second son. This son became the ancestor of these tw,Hisself,his father's
"The first was that <anteced> his </anteced> father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in",his,his,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had <anteced> his </anteced> 18th birthday and became an adult . With the turn for the better in",his,his,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that <anteced> Ye Daying </anteced> had his 18th birthday and became an adult . With the turn for the better in",his,his,his,his,his,his
"The first was that <anteced> his father , Ye Zhengming </anteced> , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in",his father 's,his,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with his family that <anteced> he </anteced> had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in",his father 's,his,his,his,his,his
"The first was that his father , Ye Zhengming , was released and reunited with <anteced> his </anteced> family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in",his father 's,his,his,his,his,his
"The first was that <anteced> his </anteced> father , Ye Zhengming , was released and reunited with his family that he had been separated from for three years . The second event was that Ye Daying had his 18th birthday and became an adult . With the turn for the better in his father 's political circumstances ,",Ye Daying,Ying Yueh,he,he,he,he
